No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
958,BODY,"The Beachbody Company, Inc.",Communication Services,Internet Content & Information,USA,2.05B,-,6.51,-0.31%,"1,257,220"
959,BOE,BlackRock Enhanced Global Dividend Trust,Financial,Closed-End Fund - Foreign,USA,768.94M,18.06,12.01,0.42%,"163,091"
960,BOH,Bank of Hawaii Corporation,Financial,Banks - Regional,USA,3.27B,15.66,81.25,2.67%,"185,137"
961,BOIL,ProShares Ultra Bloomberg Natural Gas,Financial,Exchange Traded Fund,USA,-,-,64.34,12.17%,"1,179,011"
962,BOKF,BOK Financial Corporation,Financial,Banks - Regional,USA,5.99B,9.89,87.99,3.60%,"98,894"
963,BOLT,"Bolt Biotherapeutics, Inc.",Healthcare,Biotechnology,USA,490.84M,-,12.90,-6.11%,"258,698"
964,BOMN,Boston Omaha Corporation,Communication Services,Advertising Agencies,USA,1.19B,9.99,41.62,4.31%,"228,200"
965,BON,Bon Natural Life Limited,Consumer Defensive,Packaged Foods,Cayman Islands,84.98M,16.30,9.54,-2.48%,"43,628"
966,BOND,PIMCO Active Bond Exchange-Traded Fund,Financial,Exchange Traded Fund,USA,-,-,111.30,-0.38%,"113,410"
967,BOOM,DMC Global Inc.,Energy,Oil & Gas Equipment & Services,USA,698.25M,284.88,36.75,2.28%,"177,539"
968,BOOT,"Boot Barn Holdings, Inc.",Consumer Cyclical,Apparel Retail,USA,2.80B,28.83,96.81,3.40%,"348,678"
969,BORR,Borr Drilling Limited,Energy,Oil & Gas Drilling,Bermuda,202.25M,-,0.74,3.79%,"661,157"
970,BOSC,B.O.S. Better Online Solutions Ltd.,Technology,Communication Equipment,Israel,18.35M,23.91,3.56,-1.03%,"9,276"
971,BOTJ,"Bank of the James Financial Group, Inc.",Financial,Banks - Regional,USA,70.32M,9.81,14.44,0.98%,612
972,BOTZ,Global X Robotics & Artificial Intelligence ETF,Financial,Exchange Traded Fund,USA,-,-,39.39,1.78%,"602,648"
973,BOUT,Innovator IBD Breakout Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,35.91,1.86%,"3,037"
974,BOWXU,BowX Acquisition Corp.,Financial,Shell Companies,USA,-,-,11.27,2.83%,132
975,BOX,"Box, Inc.",Technology,Software - Infrastructure,USA,3.76B,-,24.69,2.41%,"3,441,852"
976,BOXL,Boxlight Corporation,Technology,Communication Equipment,USA,139.54M,-,2.35,0.43%,"1,062,402"
977,BP,BP p.l.c.,Energy,Oil & Gas Integrated,United Kingdom,88.03B,10.22,26.16,1.99%,"10,283,779"
978,BPMC,Blueprint Medicines Corporation,Healthcare,Biotechnology,USA,6.23B,18.06,109.47,0.26%,"380,815"
979,BPMP,BP Midstream Partners LP,Energy,Oil & Gas Midstream,USA,1.39B,8.63,13.15,0.61%,"351,663"
980,BPOP,"Popular, Inc.",Financial,Banks - Regional,USA,6.09B,7.59,75.01,3.05%,"392,308"
981,BPT,BP Prudhoe Bay Royalty Trust,Energy,Oil & Gas Refining & Marketing,USA,91.18M,-,4.10,1.23%,"72,868"
982,BPTH,"Bio-Path Holdings, Inc.",Healthcare,Biotechnology,USA,36.44M,-,5.39,-0.55%,"56,682"
983,BPTS,Biophytis SA,Healthcare,Biotechnology,France,92.17M,-,8.10,0.00%,235
984,BQ,Boqii Holding Limited,Consumer Cyclical,Specialty Retail,China,195.33M,-,2.26,-1.31%,"84,263"
985,BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,USA,19.77B,36.21,168.07,2.42%,"541,052"
986,BRBR,"BellRing Brands, Inc.",Consumer Defensive,Packaged Foods,USA,1.26B,45.12,31.90,-0.99%,"328,867"
987,BRC,Brady Corporation,Industrials,Security & Protection Services,USA,2.67B,20.68,50.86,1.25%,"162,903"
988,BRCN,Burcon NutraScience Corporation,Consumer Defensive,Packaged Foods,Canada,169.22M,-,1.58,-7.06%,"171,191"
989,BREZ,Breeze Holdings Acquisition Corp.,Financial,Shell Companies,USA,147.20M,17.12,10.08,0.02%,"5,378"
990,BRF,VanEck Vectors Brazil Small-Cap ETF,Financial,Exchange Traded Fund,USA,-,-,20.42,0.12%,"40,659"
991,BRFS,BRF S.A.,Consumer Defensive,Packaged Foods,Brazil,3.78B,20.27,4.52,2.96%,"2,231,774"
992,BRG,"Bluerock Residential Growth REIT, Inc.",Real Estate,REIT - Residential,USA,282.98M,-,11.94,-3.32%,"647,590"
993,BRID,Bridgford Foods Corporation,Consumer Defensive,Packaged Foods,USA,114.26M,613.00,12.26,-0.24%,723
994,BRIVU,B. Riley Principal 250 Merger Corp.,Financial,Shell Companies,USA,-,-,9.86,0.00%,0
995,BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,631.77B,6.14,418390.00,1.53%,"1,092"
996,BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,675.83B,-,278.12,1.48%,"4,708,024"
997,BRKL,"Brookline Bancorp, Inc.",Financial,Banks - Regional,USA,1.10B,11.13,14.64,2.66%,"266,021"
998,BRKR,Bruker Corporation,Healthcare,Medical Devices,USA,12.80B,54.90,84.87,1.73%,"470,346"
999,BRKS,"Brooks Automation, Inc.",Technology,Semiconductor Equipment & Materials,USA,7.92B,67.52,108.16,3.23%,"696,303"
1000,BRLI,Brilliant Acquisition Corporation,Financial,Shell Companies,China,61.72M,-,10.10,-0.39%,21
1001,BRMK,Broadmark Realty Capital Inc.,Real Estate,REIT - Mortgage,USA,1.35B,16.47,10.18,0.59%,"601,088"
1002,BRN,"Barnwell Industries, Inc.",Energy,Oil & Gas E&P,USA,22.46M,3.79,2.41,2.99%,"311,960"
1003,BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,16.31B,28.63,57.48,0.14%,"1,162,447"
1004,BROG,Brooge Energy Limited,Energy,Oil & Gas Midstream,United Arab Emirates,1.05B,68.52,9.25,0.27%,"1,458"
1005,BROS,Dutch Bros Inc.,Consumer Cyclical,Restaurants,USA,1.59B,-,52.01,2.22%,"1,943,824"
1006,BRP,"BRP Group, Inc.",Financial,Insurance Brokers,USA,3.31B,-,32.88,-0.15%,"285,699"
1007,BRPMU,B. Riley Principal 150 Merger Corp.,Financial,Shell Companies,USA,-,-,9.94,-0.73%,304
1008,BRQS,"Borqs Technologies, Inc.",Technology,Software - Application,China,78.18M,-,0.68,-1.79%,"1,680,603"
1009,BRSP,"BrightSpire Capital, Inc.",Real Estate,REIT - Diversified,USA,1.27B,-,9.81,2.19%,"350,031"
1010,BRT,BRT Apartments Corp.,Real Estate,REIT - Residential,USA,365.46M,-,19.46,-0.97%,"35,402"
1011,BRX,Brixmor Property Group Inc.,Real Estate,REIT - Retail,USA,7.08B,35.72,23.29,0.26%,"1,648,743"
1012,BRY,Berry Corporation,Energy,Oil & Gas E&P,USA,531.57M,-,6.54,7.57%,"317,184"
1013,BRZU,Direxion Daily MSCI Brazil Bull 2X Shares,Financial,Exchange Traded Fund,USA,-,-,91.36,2.56%,"194,508"
1014,BSA,BrightSphere Investment Group plc,Financial,Exchange Traded Fund,USA,-,-,25.66,0.20%,"8,387"
1015,BSAC,Banco Santander-Chile,Financial,Banks - Regional,Chile,9.77B,11.49,20.41,-0.49%,"294,556"
1016,BSAE,Invesco BulletShares (R) 2021 USD Emerging Markets Debt ETF,Financial,Exchange Traded Fund,USA,-,-,24.91,-0.12%,209
1017,BSBK,Bogota Financial Corp.,Financial,Banks - Regional,USA,143.42M,21.18,10.40,-0.54%,502
1018,BSBR,Banco Santander (Brasil) S.A.,Financial,Banks - Regional,Brazil,26.53B,8.63,6.84,2.86%,"713,714"
1019,BSCL,Invesco BulletShares 2021 Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,21.08,0.00%,"472,860"
1020,BSCM,Invesco BulletShares 2022 Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,21.54,0.05%,"416,435"
1021,BSCN,Invesco BulletShares 2023 Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,21.68,0.00%,"400,141"
1022,BSCO,Invesco BulletShares 2024 Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,22.13,0.05%,"300,288"
1023,BSCP,Invesco BulletShares 2025 Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,22.23,-0.13%,"187,446"
1024,BSCQ,Invesco BulletShares 2026 Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,21.49,-0.19%,"250,231"
1025,BSCR,Invesco BulletShares 2027 Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,21.92,-0.30%,"47,772"
1026,BSCS,Invesco BulletShares 2028 Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,23.10,-0.35%,"17,657"
1027,BSCT,Invesco BulletShares 2029 Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,21.29,-0.49%,"12,839"
1028,BSDE,Invesco BulletShares (R) 2024 Emerging Markets Debt ETF,Financial,Exchange Traded Fund,USA,-,-,26.15,-0.20%,"1,896"
1029,BSEP,Innovator S&P 500 Buffer ETF - September,Financial,Exchange Traded Fund,USA,-,-,31.94,0.92%,"65,065"
1030,BSET,"Bassett Furniture Industries, Incorporated",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,180.44M,9.89,18.64,1.14%,"63,941"
1031,BSGM,"BioSig Technologies, Inc.",Healthcare,Medical Devices,USA,104.35M,-,3.03,1.68%,"149,433"
1032,BSIG,BrightSphere Investment Group Inc.,Financial,Asset Management,USA,2.15B,10.53,27.00,1.54%,"285,840"
1033,BSJL,Invesco BulletShares 2021 High Yield Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,22.99,0.04%,"121,783"
1034,BSJM,Invesco BulletShares 2022 High Yield Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,23.28,0.00%,"391,572"
1035,BSJN,Invesco BulletShares 2023 High Yield Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.40,0.00%,"347,064"
1036,BSJO,Invesco BulletShares 2024 High Yield Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.13,-0.04%,"149,570"
1037,BSJP,Invesco BulletShares 2025 High Yield Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,24.66,0.04%,"103,951"
1038,BSJQ,Invesco BulletShares 2026 High Yield Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.76,0.02%,"24,608"
1039,BSJR,Invesco BulletShares 2027 High Yield Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.63,-0.08%,"2,150"
1040,BSKYU,"Big Sky Growth Partners, Inc.",Financial,Shell Companies,USA,-,-,9.90,0.00%,677
1041,BSL,Blackstone / GSO Senior Floating Rate Term Fund,Financial,Closed-End Fund - Debt,USA,222.56M,-,16.46,0.43%,"42,105"
1042,BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas E&P,USA,2.33B,35.67,11.13,-0.98%,"387,791"
1043,BSML,Invesco BulletShares (R) 2021 Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.23,0.00%,78
1044,BSMM,Invesco BulletShares (R) 2022 Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.42,-0.04%,884
1045,BSMN,Invesco BulletShares (R) 2023 Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.64,-0.12%,842
1046,BSMO,Invesco BulletShares (R) 2024 Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.83,-0.10%,"2,934"
1047,BSMP,Invesco BulletShares (R) 2025 Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,26.05,-0.04%,970
1048,BSMQ,Invesco BulletShares (R) 2026 Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.99,-0.04%,"1,399"
1049,BSMR,Invesco BulletShares (R) 2027 Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.86,-0.17%,245
1050,BSMS,Invesco BulletShares (R) 2028 Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,26.32,0.00%,0
1051,BSMX,Banco Santander Mexico SA ADR,Financial,Banks - Regional,Mexico,7.85B,8.91,5.79,1.76%,"33,635"
1052,BSQR,BSQUARE Corporation,Technology,Software - Application,USA,51.61M,-,2.56,2.40%,"1,065,980"
1053,BSRR,Sierra Bancorp,Financial,Banks - Regional,USA,354.74M,8.38,23.02,0.74%,"67,990"
1054,BST,BlackRock Science and Technology Trust,Financial,Closed-End Fund - Equity,USA,1.36B,-,54.03,1.12%,"106,086"
1055,BSTZ,BlackRock Science and Technology Trust II,Financial,Asset Management,USA,3.19B,-,40.85,1.26%,"78,690"
1056,BSV,Vanguard Short-Term Bond Index Fund ETF Shares,Financial,Exchange Traded Fund,USA,-,-,82.00,-0.07%,"1,723,260"
1057,BSVN,Bank7 Corp.,Financial,Banks - Regional,USA,171.67M,9.16,20.51,-0.19%,"6,667"
1058,BSX,Boston Scientific Corporation,Healthcare,Medical Devices,USA,64.84B,122.28,45.00,1.56%,"8,166,304"
1059,BSY,"Bentley Systems, Incorporated",Technology,Software - Application,USA,18.65B,128.35,65.20,0.32%,"987,438"
1060,BTA,BlackRock Long-Term Municipal Advantage Trust,Financial,Closed-End Fund - Debt,USA,189.73M,86.16,14.13,-0.70%,"27,094"
1061,BTAI,"BioXcel Therapeutics, Inc.",Healthcare,Biotechnology,USA,893.32M,-,32.03,9.88%,"300,025"
1062,BTAL,AGFiQ U.S. Market Neutral Anti-Beta Fund,Financial,Exchange Traded Fund,USA,-,-,17.00,-0.41%,"153,141"
1063,BTAQ,Burgundy Technology Acquisition Corporation,Financial,Shell Companies,Cayman Islands,439.70M,283.71,9.93,0.00%,"21,840"
1064,BTB,Bit Brother Limited,Consumer Cyclical,Restaurants,China,30.46M,-,0.87,3.32%,"497,814"
1065,BTBT,"Bit Digital, Inc.",Technology,Software - Application,USA,525.33M,12.62,9.68,0.94%,"4,648,854"
1066,BTCM,BIT Mining Limited,Financial,Capital Markets,China,619.33M,-,10.22,5.25%,"1,304,341"
1067,BTCS,BTCS Inc.,Financial,Capital Markets,USA,38.13M,-,6.69,-4.84%,"143,062"
1068,BTCY,"Biotricity, Inc.",Healthcare,Medical Devices,USA,154.26M,-,3.16,2.10%,"226,577"
1069,BTEC,Principal Healthcare Innovators Index ETF,Financial,Exchange Traded Fund,USA,-,-,57.60,1.22%,"4,413"
1070,BTEK,BlackRock Future Tech ETF,Financial,Exchange Traded Fund,USA,-,-,37.91,1.15%,"7,111"
1071,BTG,B2Gold Corp.,Basic Materials,Gold,Canada,3.64B,5.68,3.46,-3.08%,"9,472,386"
1072,BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,United Kingdom,84.96B,10.10,36.87,0.57%,"1,812,007"
1073,BTN,"Ballantyne Strong, Inc",Consumer Cyclical,Leisure,USA,58.08M,-,3.30,3.12%,"48,261"
1074,BTNB,Bridgetown 2 Holdings Limited,Financial,Shell Companies,Hong Kong,371.53M,-,9.91,-0.20%,"21,655"
1075,BTO,John Hancock Financial Opportunities Fund,Financial,Closed-End Fund - Equity,USA,53.35B,56.52,39.90,2.49%,"40,889"
1076,BTRS,BTRS Holdings Inc.,Technology,Software - Application,USA,1.71B,-,10.59,1.73%,"621,389"
1077,BTT,Blackrock Municipal 2030 Target Term Trust,Financial,Closed-End Fund - Debt,USA,1.82B,17.68,25.81,-0.96%,"141,164"
1078,BTTR,Better Choice Company Inc.,Consumer Defensive,Packaged Foods,USA,106.50M,-,3.46,4.85%,"165,058"
1079,BTU,Peabody Energy Corporation,Energy,Thermal Coal,USA,1.62B,-,13.45,-4.13%,"7,167,836"
1080,BTWN,Bridgetown Holdings Limited,Financial,Shell Companies,Hong Kong,732.61M,-,9.81,0.10%,"147,918"
1081,BTWNU,Bridgetown Holdings Limited,Financial,Shell Companies,Hong Kong,-,-,10.13,-0.20%,"23,427"
1082,BTX,"Brooklyn ImmunoTherapeutics, Inc.",Healthcare,Biotechnology,USA,537.64M,-,10.04,3.19%,"740,166"
1083,BTZ,BlackRock Credit Allocation Income Trust,Financial,Closed-End Fund - Debt,USA,1.46B,8.98,15.62,-0.19%,"102,810"
1084,BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,Belgium,98.29B,20.44,58.83,0.72%,"821,128"
1085,BUG,Global X Cybersecurity ETF,Financial,Exchange Traded Fund,USA,-,-,32.02,1.17%,"307,677"
1086,BUI,"BlackRock Utilities, Infrastructure & Power Opportunities Trust",Financial,Closed-End Fund - Equity,USA,523.24M,-,26.06,-0.38%,"34,555"
1087,BULZ,MicroSectors FANG & Innovation,Financial,Exchange Traded Fund,USA,-,-,27.12,4.23%,"209,438"
1088,BUR,Burford Capital Limited,Financial,Asset Management,United Kingdom,-,-,11.15,1.18%,"60,989"
1089,BURL,"Burlington Stores, Inc.",Consumer Cyclical,Apparel Retail,USA,19.98B,46.75,303.28,2.21%,"525,027"
1090,BUSE,First Busey Corporation,Financial,Banks - Regional,USA,1.32B,10.36,23.83,3.56%,"190,376"
1091,BUYZ,Franklin Disruptive Commerce ETF,Financial,Exchange Traded Fund,USA,-,-,52.99,0.49%,"28,982"
1092,BUZZ,VanEck Vectors Social Sentiment ETF,Financial,Exchange Traded Fund,USA,-,-,26.04,2.12%,"56,986"
1093,BV,"BrightView Holdings, Inc.",Industrials,Specialty Business Services,USA,1.64B,117.92,14.74,1.73%,"175,883"
1094,BVH,Bluegreen Vacations Holding Corporation,Consumer Cyclical,Resorts & Casinos,USA,552.46M,974.81,26.32,3.95%,"62,069"
1095,BVN,Compania de Minas Buenaventura S.A.A.,Basic Materials,Other Precious Metals & Mining,Peru,1.99B,149.80,7.34,-2.52%,"1,557,859"
1096,BVS,Bioventus Inc.,Healthcare,Diagnostics & Research,USA,873.28M,26.62,14.91,4.12%,"112,899"
1097,BVXV,BiondVax Pharmaceuticals Ltd.,Healthcare,Biotechnology,Israel,32.33M,5.48,2.36,-0.42%,"67,254"
1098,BW,"Babcock & Wilcox Enterprises, Inc.",Industrials,Specialty Industrial Machinery,USA,513.95M,10.50,6.31,1.45%,"904,346"
1099,BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,USA,10.57B,13.04,43.76,2.48%,"2,944,959"
1100,BWAC,Better World Acquisition Corp.,Financial,Shell Companies,USA,161.87M,-,10.06,-0.10%,"13,102"
1101,BWACU,Better World Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.65,0.47%,3
1102,BWAY,BrainsWay Ltd.,Healthcare,Diagnostics & Research,Israel,138.18M,-,8.40,7.28%,"94,400"
1103,BWB,"Bridgewater Bancshares, Inc.",Financial,Banks - Regional,USA,474.14M,14.57,16.97,4.95%,"75,322"
1104,BWEN,"Broadwind, Inc.",Industrials,Specialty Industrial Machinery,USA,53.94M,10.07,2.83,-8.71%,"1,264,540"
1105,BWFG,"Bankwell Financial Group, Inc.",Financial,Banks - Regional,USA,223.88M,15.07,29.00,0.42%,"9,804"
1106,BWG,Legg Mason BW Global Income Opportunities Fund Inc.,Financial,Closed-End Fund - Debt,USA,208.05M,-,12.39,-0.48%,"42,438"
1107,BWMN,Bowman Consulting Group Ltd.,Industrials,Consulting Services,USA,155.32M,64.26,13.88,-0.86%,"34,597"
1108,BWMX,"Betterware de Mexico, S.A.B. de C.V.",Consumer Cyclical,Specialty Retail,Mexico,1.36B,27.42,37.45,5.29%,"27,459"
1109,BWX,SPDR Bloomberg Barclays International Treasury Bond ETF,Financial,Exchange Traded Fund,USA,-,-,29.14,-0.27%,"116,199"
1110,BWXT,"BWX Technologies, Inc.",Industrials,Aerospace & Defense,USA,5.30B,19.82,55.57,1.87%,"338,272"
1111,BWZ,SPDR Bloomberg Barclays Short Term International Treasury Bond ETF,Financial,Exchange Traded Fund,USA,-,-,31.43,0.21%,"5,967"
1112,BX,Blackstone Inc.,Financial,Asset Management,USA,154.45B,19.62,127.09,1.01%,"3,633,840"
1113,BXC,BlueLinx Holdings Inc.,Industrials,Building Products & Equipment,USA,505.14M,2.01,51.65,3.05%,"98,702"
1114,BXMT,"Blackstone Mortgage Trust, Inc.",Real Estate,REIT - Mortgage,USA,4.94B,11.89,31.14,0.10%,"2,343,354"
1115,BXMX,Nuveen S&P 500 Buy-Write Income Fund,Financial,Closed-End Fund - Equity,USA,1.50B,15.15,14.44,0.70%,"168,141"
1116,BXP,"Boston Properties, Inc.",Real Estate,REIT - Office,USA,17.75B,58.39,112.45,1.12%,"835,405"
1117,BXRX,"Baudax Bio, Inc.",Healthcare,Biotechnology,USA,51.27M,-,0.60,3.44%,"740,005"
1118,BXS,BancorpSouth Bank,Financial,Banks - Regional,USA,3.22B,10.50,29.44,3.95%,"804,046"
1119,BY,"Byline Bancorp, Inc.",Financial,Banks - Regional,USA,897.28M,12.24,23.70,3.31%,"94,057"
1120,BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,USA,7.18B,21.65,64.14,1.97%,"1,357,666"
1121,BYFC,Broadway Financial Corporation,Financial,Banks - Regional,USA,166.91M,-,3.65,5.80%,"58,973"
1122,BYLD,iShares Yield Optimized Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.27,-0.35%,"11,598"
1123,BYM,BlackRock Municipal Income Quality Trust,Financial,Closed-End Fund - Debt,USA,420.65M,37.48,15.93,-0.06%,"74,360"
1124,BYND,"Beyond Meat, Inc.",Consumer Defensive,Packaged Foods,USA,6.84B,-,112.88,-0.79%,"1,179,851"
1125,BYRN,Byrna Technologies Inc.,Industrials,Aerospace & Defense,USA,567.17M,-,23.35,2.59%,"166,867"
1126,BYSI,BeyondSpring Inc.,Healthcare,Biotechnology,USA,589.90M,-,15.35,1.32%,"1,832,269"
1127,BYTS,BYTE Acquisition Corp.,Financial,Shell Companies,USA,314.31M,-,9.71,0.10%,7
1128,BYTSU,BYTE Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.96,0.00%,"8,031"
1129,BZ,Kanzhun Limited,Industrials,Staffing & Employment Services,China,15.40B,-,38.00,1.17%,"300,488"
1130,BZH,"Beazer Homes USA, Inc.",Consumer Cyclical,Residential Construction,USA,547.81M,5.42,17.66,0.57%,"223,660"
1131,BZQ,ProShares UltraShort MSCI Brazil Capped,Financial,Exchange Traded Fund,USA,-,-,15.73,-2.84%,"221,640"
1132,BZUN,Baozun Inc.,Consumer Cyclical,Internet Retail,China,1.51B,23.31,19.37,-0.97%,"814,812"
1133,C,Citigroup Inc.,Financial,Banks - Diversified,USA,143.74B,7.36,70.88,3.87%,"21,361,938"
1134,CAAP,Corporacion America Airports S.A.,Industrials,Airports & Air Services,Luxembourg,909.09M,-,5.70,0.18%,"104,731"
1135,CAAS,"China Automotive Systems, Inc.",Consumer Cyclical,Auto Parts,China,104.30M,18.83,3.37,0.30%,"20,504"
1136,CABA,"Cabaletta Bio, Inc.",Healthcare,Biotechnology,USA,290.00M,-,12.50,2.46%,"76,723"
1137,CABO,"Cable One, Inc.",Communication Services,Telecom Services,USA,11.51B,33.81,1905.70,-0.68%,"36,419"
1138,CAC,Camden National Corporation,Financial,Banks - Regional,USA,682.84M,9.70,47.06,2.48%,"40,593"
1139,CACC,Credit Acceptance Corporation,Financial,Credit Services,USA,9.15B,11.20,581.08,-2.87%,"209,087"
1140,CACG,ClearBridge All Cap Growth ESG ETF,Financial,Exchange Traded Fund,USA,-,-,50.61,0.86%,"8,460"
1141,CACI,CACI International Inc,Technology,Information Technology Services,USA,5.90B,13.71,251.39,0.51%,"103,913"
1142,CADE,Cadence Bancorporation,Financial,Banks - Regional,USA,2.71B,5.98,21.75,3.97%,"503,656"
1143,CADL,"Candel Therapeutics, Inc.",Healthcare,Biotechnology,USA,304.80M,-,10.00,-0.20%,"106,535"
1144,CAE,CAE Inc.,Industrials,Aerospace & Defense,Canada,9.37B,96.29,29.08,1.39%,"108,618"
1145,CAF,"Morgan Stanley China A Share Fund, Inc.",Financial,Closed-End Fund - Foreign,USA,454.04M,-,20.75,0.68%,"9,388"
1146,CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,USA,15.92B,12.47,33.19,-0.33%,"2,733,641"
1147,CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,USA,14.96B,24.84,51.36,0.69%,"1,952,894"
1148,CAHC,CA Healthcare Acquisition Corp.,Financial,Shell Companies,USA,115.00M,-,10.00,0.00%,"518,657"
1149,CAHCU,CA Healthcare Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.41,-0.86%,202
1150,CAI,"CAI International, Inc.",Industrials,Rental & Leasing Services,USA,969.73M,7.68,55.86,0.07%,"116,719"
1151,CAJ,Canon Inc.,Technology,Computer Hardware,Japan,32.77B,15.95,24.44,0.41%,"154,140"
1152,CAKE,The Cheesecake Factory Incorporated,Consumer Cyclical,Restaurants,USA,2.46B,-,47.09,6.73%,"1,426,054"
1153,CAL,"Caleres, Inc.",Consumer Cyclical,Footwear & Accessories,USA,934.55M,-,24.42,1.50%,"483,830"
1154,CALA,"Calithera Biosciences, Inc.",Healthcare,Biotechnology,USA,150.57M,-,2.25,-0.44%,"677,830"
1155,CALF,Pacer US Small Cap Cash Cows 100 ETF,Financial,Exchange Traded Fund,USA,-,-,43.16,1.60%,"77,361"
1156,CALM,"Cal-Maine Foods, Inc.",Consumer Defensive,Farm Products,USA,1.62B,891.46,36.55,-0.68%,"269,113"
1157,CALT,Calliditas Therapeutics AB (publ),Healthcare,Biotechnology,Sweden,562.59M,-,22.53,-1.38%,"17,965"
1158,CALX,"Calix, Inc.",Technology,Software - Application,USA,3.39B,40.95,52.99,3.27%,"725,454"
1159,CAMP,CalAmp Corp.,Technology,Communication Equipment,USA,370.23M,-,10.56,5.07%,"311,502"
1160,CAMT,Camtek Ltd.,Technology,Semiconductor Equipment & Materials,Israel,2.01B,46.03,45.11,5.35%,"455,260"
1161,CAN,Canaan Inc.,Technology,Computer Hardware,China,1.29B,127.05,7.75,1.71%,"3,960,437"
1162,CANE,Teucrium Sugar,Financial,Exchange Traded Fund,USA,-,-,9.59,1.27%,"30,314"
1163,CANF,Can-Fite BioPharma Ltd.,Healthcare,Biotechnology,Israel,28.54M,-,1.66,-0.40%,"126,669"
1164,CANG,Cango Inc.,Communication Services,Internet Content & Information,China,617.82M,1.14,4.25,2.41%,"222,487"
1165,CANO,"Cano Health, Inc.",Healthcare,Medical Care Facilities,USA,6.99B,-,14.48,-0.07%,"2,816,181"
1166,CAPE,Barclays ETN+ Shiller Capet ETN,Financial,Exchange Traded Fund,USA,-,-,21.53,0.98%,"43,227"
1167,CAPL,CrossAmerica Partners LP,Energy,Oil & Gas Refining & Marketing,USA,739.48M,24.23,19.82,1.07%,"46,403"
1168,CAPR,"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,USA,108.68M,-,5.02,3.29%,"565,207"
1169,CAR,"Avis Budget Group, Inc.",Industrials,Rental & Leasing Services,USA,7.46B,42.35,108.13,8.13%,"2,704,024"
1170,CARA,"Cara Therapeutics, Inc.",Healthcare,Biotechnology,USA,777.28M,148.13,15.85,1.41%,"430,494"
1171,CARE,"Carter Bankshares, Inc.",Financial,Banks - Regional,USA,385.43M,-,14.55,2.83%,"66,329"
1172,CARG,"CarGurus, Inc.",Communication Services,Internet Content & Information,USA,3.73B,34.33,32.00,1.27%,"749,001"
1173,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,USA,46.47B,19.04,53.49,1.71%,"4,243,622"
1174,CARS,Cars.com Inc.,Consumer Cyclical,Auto & Truck Dealerships,USA,879.33M,151.43,12.72,1.11%,"509,336"
1175,CARV,"Carver Bancorp, Inc.",Financial,Banks - Regional,USA,50.98M,-,14.65,5.09%,"55,370"
